text,label
"Adorei o produto de investimento no mercado de capitais!",positivo
"O serviço de instalacão da internet foi pessimo nao recomendo.",negativo
"Entrega rapida com atendimento excelente",positivo
"Produto veio com defeito estou decepcionado",negativo
"Gostei muito da qualidade",positivo
"Nao funcionou como esperado.",negativo
"Fui muito bem atendido.",positivo
"Nao voltarei a comprar",negativo
"Adorei o produto de investimento no mercado de capitais!",positivo
"O serviço de instalacão da internet foi pessimo nao recomendo.",negativo
"Entrega rapida com atendimento excelente",positivo
"Produto veio com defeito estou decepcionado",negativo
"Gostei muito da qualidade",positivo
"Nao funcionou como esperado.",negativo
"Fui muito bem atendido.",positivo
"Nao voltarei a comprar",negativo
