text,label
"Adorei o produto de investimento no mercado de capitais!",positivo
"O serviço de instalacão da internet foi péssimo nao recomendo.",negativo
"Entrega rápida com atendimento excelente",positivo
"Produto veio com defeito estou decepcionado",negativo
"Gostei muito da qualidade",positivo
"Não funcionou como esperado.",negativo
"Fui muito bem atendido.",positivo
"Não voltarei a comprar",negativo
"Adorei o produto de investimento no mercado de capitais!",positivo
"O serviço de instalacão da internet foi pessimo nao recomendo.",negativo
"Entrega rapida com atendimento excelente",positivo
"Produto veio com defeito estou decepcionado",negativo
"Gostei muito da qualidade",positivo
"Nao funcionou como esperado.",negativo
"Fui muito bem atendido.",positivo
"Nossa este produto é nota 10!",positivo
"Top esta carteira da marca",positivo
"Muito ruim, não gostei do atendimento",negativo
